Sample	aligned	error_rate
Batch3_Unctrl.CBA9_S9	99.56166577	0.26
Batch4_Ctrl.CBF10_S10	99.61675114	0.22
Batch4_Ctrl.CBF11_S11	99.66704559	0.22
Batch4_Ctrl.CBF12_S12	99.64166362	0.24
Batch4_Ctrl.CBF13_S13	99.61507283	0.23
Batch4_Ctrl.CBF14_S14	99.64577561	0.21
Batch4_Ctrl.CBF15_S15	99.65288148	0.22
Batch4_Ctrl.CBF17_S17	99.67353893	0.22
Batch4_Ctrl.CBF18_S18	99.65691565	0.22
Batch4_Ctrl.CBF20_S20	99.63867108	0.23
Batch4_Ctrl.CBF21_S21	99.65669043	0.23
Batch4_Ctrl.CBF22_S22	99.62840608	0.23
Batch4_Ctrl.CBF23_S23	99.65557302	0.22
Batch4_Ctrl.CBF24_S24	99.65663584	0.24
Batch4_Ctrl.CBF2_S2	99.68012104	0.22
Batch4_Ctrl.CBF3_S3	99.6648165	0.22
Batch4_Ctrl.CBF4_S4	99.61111224	0.23
Batch4_Ctrl.CBF5_S5	99.66126447	0.22
Batch4_Ctrl.CBF6_S6	99.66837583	0.22
Batch4_Ctrl.CBF8_S8	99.60056965	0.23
Batch4_Unctrl.CBF19_S19	99.62761919	0.22
Batch5_Ctrl.CBE03_S3	99.48216576	0.28
Batch5_Ctrl.CBE04_S4	99.43693114	0.28
Batch5_Ctrl.CBE05_S5	99.42793953	0.26
Batch5_Ctrl.CBE06_S6	99.42801384	0.26
Batch5_Ctrl.CBE08_S8	99.41898561	0.31
Batch5_Ctrl.CBE09_S9	99.410857	0.27
Batch5_Ctrl.CBE10_S10	99.5608692	0.27
Batch5_Ctrl.CBE12_S12	99.3663369	0.31
Batch5_Ctrl.CBE13_S13	99.50365216	0.27
Batch5_Ctrl.CBE15_S1	99.65194456	0.22
Batch5_Ctrl.CBE16_S2	99.66932688	0.22
Batch5_Ctrl.CBE17_S3	99.58449843	0.24
Batch5_Ctrl.CBE18_S4	99.64008223	0.22
Batch5_Ctrl.CBE20_S6	99.61774072	0.22
Batch5_Ctrl.CBE22_S8	99.59810448	0.22
Batch5_Ctrl.CBE23_S9	99.59357738	0.22
Batch5_Ctrl.CBE24_S10	99.55599636	0.23
Batch5_Ctrl.CBE26_S12	99.61253289	0.22
Batch5_Ctrl.CBE28_S14	99.62601954	0.22
Batch5_Ctrl.CBE29_S15	99.65413784	0.22
Batch5_Ctrl.CBE30_S16	99.4210457	0.24
Batch5_Ctrl.CBE31_S1	99.61551363	0.25
Batch5_Ctrl.CBE33_S3	99.54517858	0.25
Batch5_Ctrl.CBE34_S4	99.47845279	0.25
Batch5_Ctrl.CBE35_S5	99.58874628	0.25
Batch5_Ctrl.CBE36_S6	99.48351901	0.29
Batch5_Ctrl.CBE37_S7	99.61817246	0.25
Batch5_Ctrl.CBE38_S8	99.5695935	0.26
Batch5_Ctrl.CBE39_S9	99.52883058	0.24
Batch5_Ctrl.CBE40_S10	99.4788755	0.25
Batch5_Ctrl.CBE41_S11	99.53164003	0.25
Batch5_Ctrl.CBE42_S12	99.38164517	0.25
Batch5_Ctrl.CBE43_S13	99.43202725	0.27
Batch5_Ctrl.CBE44_S14	99.54086111	0.25
Batch5_Ctrl.CBE45_S15	99.60455275	0.25
Batch5_Ctrl.CBE46_S16	99.50376927	0.26
Batch5_Ctrl.CBE47_S1	99.57144315	0.21
Batch5_Ctrl.CBE48_S2	99.6523458	0.21
Batch5_Ctrl.CBE50_S4	99.69933278	0.21
Batch5_Ctrl.CBE51_S5	99.68485175	0.22
Batch5_Ctrl.CBE52_S6	99.5445693	0.22
Batch5_Ctrl.CBE53_S7	99.62328155	0.21
Batch5_Ctrl.CBE54_S8	99.65683316	0.23
Batch5_Ctrl.CBE55_S9	99.51146635	0.21
